person_id,academic_pressure,work_pressure,cgpa,study_satisfaction,job_satisfaction,work_study_hours
1,5.0,0.0,8.97,2.0,0.0,3.0
2,2.0,0.0,5.9,5.0,0.0,3.0
3,3.0,0.0,7.03,5.0,0.0,9.0
4,3.0,0.0,5.59,2.0,0.0,4.0
5,4.0,0.0,8.13,3.0,0.0,1.0
6,2.0,0.0,5.7,3.0,0.0,4.0
7,3.0,0.0,9.54,4.0,0.0,1.0
8,2.0,0.0,8.04,4.0,0.0,0.0
9,3.0,0.0,9.79,1.0,0.0,12.0
10,2.0,0.0,8.38,3.0,0.0,2.0
11,3.0,0.0,6.1,3.0,0.0,11.0
12,3.0,0.0,7.03,4.0,0.0,10.0
13,5.0,0.0,7.04,1.0,0.0,10.0
14,2.0,0.0,8.52,4.0,0.0,6.0
15,5.0,0.0,5.64,5.0,0.0,4.0
16,3.0,0.0,8.58,3.0,0.0,10.0
17,5.0,0.0,6.51,2.0,0.0,2.0
18,5.0,0.0,7.25,3.0,0.0,10.0
19,2.0,0.0,7.83,2.0,0.0,6.0
20,3.0,0.0,9.93,3.0,0.0,8.0
21,3.0,0.0,8.74,4.0,0.0,1.0
22,3.0,0.0,6.73,3.0,0.0,0.0
23,3.0,0.0,5.57,3.0,0.0,10.0
24,1.0,0.0,8.59,4.0,0.0,11.0
25,4.0,0.0,7.1,3.0,0.0,11.0
26,5.0,0.0,8.58,5.0,0.0,2.0
27,2.0,0.0,6.08,5.0,0.0,3.0
28,3.0,0.0,7.25,3.0,0.0,10.0
29,5.0,0.0,5.74,2.0,0.0,8.0
30,3.0,0.0,9.86,3.0,0.0,11.0
31,4.0,0.0,6.7,5.0,0.0,5.0
32,2.0,0.0,6.21,3.0,0.0,4.0
33,1.0,0.0,7.25,1.0,0.0,7.0
34,1.0,0.0,5.87,3.0,0.0,8.0
35,1.0,0.0,8.04,3.0,0.0,0.0
36,1.0,0.0,6.37,3.0,0.0,2.0
37,5.0,0.0,9.72,2.0,0.0,0.0
38,5.0,0.0,5.88,3.0,0.0,9.0
39,1.0,0.0,9.56,2.0,0.0,6.0
40,3.0,0.0,6.51,4.0,0.0,3.0
41,3.0,0.0,6.99,2.0,0.0,11.0
42,2.0,0.0,6.1,4.0,0.0,10.0
43,1.0,0.0,5.24,3.0,0.0,2.0
44,4.0,0.0,9.21,1.0,0.0,10.0
45,1.0,0.0,7.85,4.0,0.0,12.0
46,1.0,0.0,9.93,1.0,0.0,10.0
47,2.0,0.0,6.95,2.0,0.0,2.0
48,1.0,0.0,5.86,3.0,0.0,1.0
49,3.0,0.0,7.04,3.0,0.0,1.0
50,5.0,0.0,6.99,5.0,0.0,0.0
51,3.0,0.0,7.92,3.0,0.0,10.0
52,5.0,0.0,9.66,1.0,0.0,12.0
53,3.0,0.0,5.7,5.0,0.0,11.0
54,4.0,0.0,8.94,1.0,0.0,12.0
55,2.0,0.0,8.04,3.0,0.0,8.0
56,1.0,0.0,9.71,1.0,0.0,5.0
57,3.0,0.0,8.04,2.0,0.0,7.0
58,5.0,0.0,7.87,1.0,0.0,11.0
59,5.0,0.0,5.74,1.0,0.0,11.0
60,3.0,0.0,5.6,1.0,0.0,9.0
61,5.0,0.0,9.21,1.0,0.0,7.0
62,4.0,0.0,7.9,3.0,0.0,3.0
63,3.0,0.0,5.46,4.0,0.0,10.0
64,1.0,0.0,6.79,5.0,0.0,0.0
65,5.0,0.0,8.7,4.0,0.0,4.0
66,2.0,0.0,7.38,5.0,0.0,2.0
67,1.0,0.0,8.5,3.0,0.0,11.0
68,2.0,0.0,7.09,4.0,0.0,11.0
69,3.0,0.0,9.82,3.0,0.0,12.0
70,1.0,0.0,8.89,4.0,0.0,10.0
71,5.0,0.0,7.94,3.0,0.0,8.0
72,3.0,0.0,9.11,5.0,0.0,5.0
73,3.0,0.0,6.75,4.0,0.0,6.0
74,1.0,0.0,7.53,4.0,0.0,7.0
75,3.0,0.0,9.49,5.0,0.0,9.0
76,1.0,0.0,9.01,4.0,0.0,3.0
77,2.0,0.0,7.64,1.0,0.0,0.0
78,5.0,0.0,5.27,1.0,0.0,6.0
79,5.0,0.0,8.74,2.0,0.0,8.0
80,5.0,0.0,6.0,2.0,0.0,0.0
81,2.0,0.0,9.44,1.0,0.0,7.0
82,2.0,0.0,5.75,3.0,0.0,5.0
83,1.0,0.0,7.51,2.0,0.0,7.0
84,2.0,0.0,6.37,1.0,0.0,4.0
85,4.0,0.0,6.95,4.0,0.0,12.0
86,1.0,0.0,7.1,5.0,0.0,6.0
87,1.0,0.0,9.66,4.0,0.0,12.0
88,3.0,0.0,9.05,1.0,0.0,1.0
89,3.0,0.0,6.38,3.0,0.0,11.0
90,2.0,0.0,8.5,5.0,0.0,1.0
91,2.0,0.0,7.09,4.0,0.0,8.0
92,1.0,0.0,8.97,2.0,0.0,3.0
93,3.0,0.0,8.95,1.0,0.0,4.0
94,2.0,0.0,9.88,4.0,0.0,0.0
95,4.0,0.0,6.75,1.0,0.0,10.0
96,3.0,0.0,5.32,3.0,0.0,7.0
97,4.0,0.0,6.27,4.0,0.0,10.0
98,3.0,0.0,7.7,2.0,0.0,11.0
99,3.0,0.0,9.66,1.0,0.0,9.0
100,5.0,0.0,8.1,1.0,0.0,9.0
101,4.0,0.0,9.59,2.0,0.0,11.0
102,5.0,0.0,8.96,1.0,0.0,12.0
103,2.0,0.0,7.51,5.0,0.0,7.0
104,5.0,0.0,5.32,1.0,0.0,11.0
105,1.0,0.0,8.95,3.0,0.0,10.0
106,1.0,0.0,8.5,3.0,0.0,10.0
107,2.0,0.0,5.51,5.0,0.0,12.0
108,4.0,0.0,7.43,2.0,0.0,6.0
109,2.0,0.0,8.79,1.0,0.0,8.0
110,2.0,0.0,9.95,4.0,0.0,0.0
111,5.0,0.0,9.79,5.0,0.0,10.0
112,5.0,0.0,5.37,4.0,0.0,12.0
113,3.0,0.0,6.86,4.0,0.0,12.0
114,5.0,0.0,7.83,1.0,0.0,11.0
115,2.0,0.0,8.32,1.0,0.0,12.0
116,3.0,0.0,5.51,2.0,0.0,7.0
117,3.0,0.0,9.74,1.0,0.0,5.0
118,5.0,0.0,5.66,1.0,0.0,11.0
119,3.0,0.0,7.48,4.0,0.0,10.0
120,4.0,0.0,8.89,3.0,0.0,6.0
121,5.0,0.0,8.23,2.0,0.0,4.0
122,5.0,0.0,8.81,1.0,0.0,8.0
123,5.0,0.0,6.03,4.0,0.0,11.0
124,5.0,0.0,9.44,4.0,0.0,3.0
125,3.0,0.0,7.25,3.0,0.0,9.0
126,1.0,0.0,5.56,1.0,0.0,9.0
127,3.0,0.0,5.68,1.0,0.0,10.0
128,3.0,0.0,5.14,3.0,0.0,12.0
129,3.0,0.0,7.61,2.0,0.0,3.0
130,1.0,0.0,6.17,4.0,0.0,10.0
131,2.0,0.0,8.17,3.0,0.0,7.0
132,5.0,0.0,9.87,5.0,0.0,12.0
133,3.0,0.0,9.86,4.0,0.0,9.0
134,2.0,0.0,9.21,3.0,0.0,0.0
135,3.0,0.0,5.46,4.0,0.0,11.0
136,5.0,0.0,8.96,2.0,0.0,1.0
137,2.0,0.0,7.94,2.0,0.0,2.0
138,2.0,0.0,8.58,4.0,0.0,10.0
139,3.0,0.0,8.5,1.0,0.0,3.0
140,3.0,0.0,8.74,5.0,0.0,6.0
141,1.0,0.0,5.14,5.0,0.0,12.0
142,3.0,0.0,8.75,5.0,0.0,10.0
143,1.0,0.0,9.71,4.0,0.0,1.0
144,4.0,0.0,7.25,3.0,0.0,1.0
145,1.0,0.0,6.16,4.0,0.0,10.0
146,1.0,0.0,9.5,2.0,0.0,9.0
147,4.0,0.0,7.99,2.0,0.0,10.0
148,3.0,0.0,9.86,2.0,0.0,9.0
149,5.0,0.0,5.67,3.0,0.0,4.0
150,4.0,0.0,8.92,2.0,0.0,8.0
151,2.0,0.0,6.19,5.0,0.0,12.0
152,4.0,0.0,5.76,1.0,0.0,9.0
153,3.0,0.0,5.9,3.0,0.0,3.0
154,1.0,0.0,5.74,2.0,0.0,11.0
155,3.0,0.0,8.04,2.0,0.0,9.0
156,5.0,0.0,6.25,2.0,0.0,9.0
157,5.0,0.0,5.11,4.0,0.0,11.0
158,4.0,0.0,7.94,3.0,0.0,12.0
159,4.0,0.0,5.58,5.0,0.0,4.0
160,1.0,0.0,5.65,5.0,0.0,12.0
161,5.0,0.0,9.72,1.0,0.0,11.0
162,1.0,0.0,9.89,1.0,0.0,12.0
163,5.0,0.0,5.37,4.0,0.0,9.0
164,3.0,0.0,5.59,4.0,0.0,6.0
165,5.0,0.0,5.37,3.0,0.0,10.0
166,5.0,0.0,5.7,5.0,0.0,5.0
167,2.0,0.0,8.95,4.0,0.0,2.0
