gender,age,degree,city_id,profession_id
Male,33.0,B.Pharm,1,1
Female,24.0,BSc,2,1
Male,31.0,BA,3,1
Female,28.0,BCA,4,1
Female,25.0,M.Tech,5,1
Male,29.0,PhD,6,1
Male,30.0,BSc,7,1
Female,30.0,'Class 12',8,1
Male,28.0,B.Ed,9,1
Male,31.0,LLB,10,1
Male,24.0,'Class 12',9,1
Male,33.0,BE,11,1
Male,27.0,M.Tech,12,1
Female,19.0,'Class 12',13,1
Female,19.0,'Class 12',12,1
Male,29.0,M.Tech,3,1
Male,25.0,M.Ed,10,1
Female,20.0,'Class 12',14,1
Male,19.0,'Class 12',8,1
Male,25.0,B.Ed,12,1
Male,29.0,B.Ed,15,1
Male,29.0,M.Tech,15,1
Female,25.0,MSc,14,1
Male,23.0,BHM,7,1
Male,18.0,'Class 12',2,1
Female,20.0,'Class 12',16,1
Male,31.0,LLB,14,1
Male,25.0,M.Ed,17,1
Male,33.0,M.Pharm,18,1
Male,28.0,M.Pharm,12,1
Male,18.0,'Class 12',19,1
Male,18.0,'Class 12',1,1
Male,21.0,MCA,5,1
Female,31.0,PhD,12,1
Male,21.0,MA,19,1
Female,25.0,B.Pharm,20,1
Female,21.0,B.Com,21,1
Male,28.0,BCA,3,1
Male,28.0,MD,7,1
Male,25.0,B.Pharm,22,1
Female,20.0,'Class 12',7,1
Male,23.0,MSc,23,1
Male,19.0,'Class 12',23,1
Female,33.0,MBA,24,1
Female,23.0,BE,8,1
Male,22.0,B.Ed,17,1
Female,19.0,'Class 12',22,1
Female,30.0,BSc,25,1
Male,21.0,MSc,12,1
Female,19.0,'Class 12',13,1
Male,23.0,B.Com,12,1
Female,23.0,BHM,26,1
Female,18.0,'Class 12',11,1
Male,28.0,M.Pharm,3,1
Male,24.0,M.Tech,25,1
Female,33.0,B.Com,3,1
Female,20.0,'Class 12',12,1
Male,23.0,BSc,12,1
Male,23.0,BA,6,1
Female,24.0,MBBS,20,1
Male,25.0,BSc,5,1
Female,24.0,MBBS,21,1
Female,24.0,BSc,15,1
Male,31.0,MCA,10,1
Male,20.0,'Class 12',7,1
Male,21.0,MA,20,1
Male,25.0,BA,27,1
Male,19.0,'Class 12',16,1
Female,34.0,MSc,19,1
Male,24.0,M.Tech,23,1
Male,33.0,B.Ed,25,1
Male,32.0,MBBS,28,1
Male,18.0,'Class 12',21,1
Female,31.0,M.Com,18,1
Female,25.0,BHM,12,1
Male,20.0,'Class 12',19,1
Male,31.0,MSc,24,1
Male,24.0,MD,19,1
Male,24.0,B.Pharm,17,1
Female,23.0,MSc,13,1
Female,25.0,BSc,4,1
